Ground transportation to/from airport,Parking facilities,Parking facilities (value for money),Availability of baggage carts,Efficiency of check-in staff,Check-in wait time,Courtesy of of check-in staff,Wait time at passport inspection,Courtesy of inspection staff,Courtesy of security staff,Thoroughness of security inspection,Wait time of security inspection,Feeling of safety and security,Ease of finding your way through the airport,Flight information screens,Walking distance inside terminal,Ease of making connections,Courtesy of airport staff,Restaurants,Restaurants (value for money),Availability of banks/ATM/money changing,Shopping facilities,Shopping facilities (value for money),Internet access,Business/executive lounges,Availability of washrooms,Cleanliness of washrooms,Comfort of waiting/gate areas,Cleanliness of airport terminal,Ambience of airport,Arrivals passport and visa inspection,Speed of baggage delivery,Customs inspection,Overall satisfaction
0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0
5.0,3.0,4.0,0.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,4.0,4.0,0.0,0.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,3.0,3.0,4.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,4.0,0.0,5.0,4.0,3.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,5.0,0.0
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0
3.0,4.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,5.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,3.0,0.0,4.0,3.0,3.0,4.0,4.0,4.0,0.0,4.0,0.0
0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,0.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,0.0,4.0,4.0,4.0,5.0,5.0,4.0,0.0,4.0,0.0
4.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0
0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,0.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0
0.0,5.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,3.0,2.0,3.0,0.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0
5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,5.0,0.0
0.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,3.0,0.0
0.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,0.0,3.0,0.0,5.0
4.0,2.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,4.0,0.0
0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,4.0,0.0,5.0,4.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.0,4.0,3.0,5.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,5.0,4.0,0.0,0.0,0.0
4.0,0.0,0.0,5.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,5.0,5.0,4.0,0.0,5.0,4.0,4.0,2.0,2.0,2.0,1.0,0.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,0.0,0.0
5.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,5.0,0.0
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,4.0,0.0
0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,3.0,4.0,0.0,3.0,0.0
3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0
4.0,4.0,3.0,0.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,0.0,4.0,3.0,0.0,0.0,4.0,4.0,3.0,4.0,4.0,0.0,3.0,0.0,5.0
3.0,0.0,0.0,0.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,3.0,3.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,4.0,5.0,3.0,5.0,5.0,5.0,0.0,5.0,0.0
0.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0
4.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,4.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0
5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,2.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,5.0,5.0,5.0,0.0,4.0,0.0,5.0
0.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,4.0
4.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,0.0,4.0,5.0,5.0,0.0,3.0,3.0,1.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,4.0,0.0
5.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0
0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,5.0
4.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
0.0,5.0,5.0,0.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,4.0,4.0,4.0,4.0,5.0,0.0,2.0,0.0
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0
5.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,3.0,0.0,4.0,3.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,5.0,0.0,4.0,0.0
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,3.0,3.0,5.0,0.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0
3.0,0.0,0.0,0.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0
5.0,5.0,4.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,4.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,5.0,0.0
5.0,5.0,3.0,0.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0,3.0,2.0,2.0,0.0,3.0,0.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,0.0
0.0,3.0,2.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0
4.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,2.0,3.0,4.0,4.0,4.0,0.0,4.0,0.0
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,0.0,5.0,3.0,3.0,0.0,2.0,3.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0
0.0,0.0,0.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,0.0,3.0,3.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,0.0,3.0,0.0,5.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,4.0,5.0,5.0,4.0,4.0,0.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0
3.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,2.0,0.0,3.0,2.0,3.0,0.0,4.0,4.0,3.0,5.0,5.0,0.0,4.0,0.0,5.0
5.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,4.0,0.0
5.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,5.0,5.0,4.0,5.0,5.0,4.0,0.0,4.0,0.0
4.0,4.0,3.0,0.0,4.0,4.0,4.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,0.0,3.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0
2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,5.0,0.0,4.0,0.0,4.0,5.0,4.0,0.0,3.0,3.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,4.0,0.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0
0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,4.0
4.0,3.0,0.0,0.0,5.0,4.0,5.0,0.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,3.0,5.0,5.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0
5.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0
5.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,3.0,0.0
5.0,0.0,0.0,0.0,5.0,3.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,4.0,0.0,3.0,3.0,0.0,0.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,2.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,0.0,0.0,3.0,3.0,4.0,5.0,4.0,0.0,0.0,4.0,4.0,4.0,5.0,5.0,4.0,0.0,0.0,0.0
0.0,4.0,4.0,0.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
0.0,5.0,4.0,0.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,4.0,4.0,0.0,3.0,3.0,0.0,0.0,5.0,5.0,4.0,5.0,4.0,4.0,0.0,4.0,0.0
0.0,3.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,0.0,5.0,5.0,4.0,0.0,4.0,3.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
5.0,3.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0,4.0,0.0
4.0,0.0,0.0,0.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,3.0,4.0,0.0,3.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,4.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0,4.0,5.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0
3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,4.0,0.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
3.0,0.0,0.0,2.0,5.0,5.0,4.0,4.0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,4.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,0.0,1.0,0.0
5.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,4.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0
5.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,4.0,3.0,3.0,0.0,0.0,4.0,0.0,5.0,4.0,3.0,5.0,5.0,5.0,0.0,5.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,0.0,5.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0
3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,2.0,0.0,5.0,5.0,5.0,5.0,4.0,0.0,3.0,0.0,5.0
4.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0
0.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,3.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,2.0,5.0,5.0,2.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,4.0,4.0,4.0,0.0,3.0,3.0,5.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,3.0,0.0
0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0
5.0,0.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,0.0,4.0,3.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0
4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,0.0,4.0,5.0,3.0,0.0,4.0,3.0,3.0,0.0,5.0,4.0,5.0,5.0,4.0,4.0,0.0,0.0,0.0
0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,1.0,0.0,3.0,2.0,3.0,4.0,4.0,4.0,0.0,2.0,0.0
5.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,0.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,3.0,4.0,5.0,0.0,0.0,4.0,5.0,0.0,3.0,3.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,4.0,0.0,3.0,0.0
4.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,3.0,0.0,5.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0
4.0,0.0,0.0,2.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,0.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0
5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,0.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0
